['bmh', 'classic', 'dark_background', 'fast', 'fivethirtyeight', 'ggplot', 'grayscale', 'seaborn-bright', 'seaborn-colorblind', 'seaborn-dark-palette', 'seaborn-dark', 'seaborn-darkgrid', 'seaborn-deep', 'seaborn-muted', 'seaborn-notebook', 'seaborn-paper', 'seaborn-pastel', 'seaborn-poster', 'seaborn-talk', 'seaborn-ticks', 'seaborn-white', 'seaborn-whitegrid', 'seaborn', 'Solarize_Light2', '_classic_test']
         828034 function calls (814815 primitive calls) in 2.234 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      301    0.002    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     1423    0.001    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      301    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      301    0.039    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      301    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      431    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
       26    0.000    0.000    0.033    0.001 <frozen importlib._bootstrap_external>:919(create_module)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      397    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:980(_recalculate)
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:993(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(Box)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Font)
